T_K,T_C,dG_alternative_kJ,dG_original_kJ,dG_Fe_oxidation_kJ,Cu_capture_pct
800.0,526.85,-85.3408526935759,-271.0318747910243,-185.69102209744838,31.5
850.0,576.85,-82.3765844552957,-262.7141421186505,-180.3375576633548,31.4
900.0,626.85,-79.38409696046007,-253.63898177118867,-174.25488481072858,31.3
950.0,676.85,-76.33772444487084,-244.63346308515662,-168.29573864028578,31.2
1000.0,726.85,-73.24796865262697,-235.69270566542843,-162.44473701280145,31.1
1050.0,776.85,-70.17877334360895,-226.812178289979,-156.63340494637004,30.9
1100.0,826.85,-67.14394676614506,-217.98972302961747,-150.8457762634724,30.8
1150.0,876.85,-64.15139270742634,-209.2246060921538,-145.07321338472747,30.7
1200.0,926.85,-61.20673749825312,-200.51352696056827,-139.30678946231515,30.5
1250.0,976.85,-58.31451310632285,-191.85794243765926,-133.54342933133643,30.4
1300.0,1026.85,-55.47872237852449,-183.2592137216339,-127.78049134310942,30.3
1350.0,1076.85,-52.70306948850025,-174.7174310201225,-122.01436153162224,30.2
1400.0,1126.85,-49.76668691877485,-166.00868846614821,-116.24200154737336,30.0
1450.0,1176.85,-47.10374937141012,-157.56456355519848,-110.46081418378836,29.9
1500.0,1226.85,-44.93649858588353,-149.60505906974456,-104.66856048386103,30.0
1550.0,1276.85,-43.37156293155113,-142.23488229793054,-98.86331936637941,30.5
1600.0,1326.85,-42.46310407268698,-135.50661616360978,-93.0435120909228,31.3
1650.0,1376.85,-42.314671883697855,-129.29344387955638,-86.97877199585852,32.7
1700.0,1426.85,-43.19136262170249,-122.2904987869768,-79.0991361652743,35.3
1750.0,1476.85,-44.59363977112505,-116.77672267132695,-72.1830829002019,38.2
1800.0,1526.85,-45.66950958166598,-111.88030160552566,-66.21079202385968,40.8
1850.0,1576.85,-46.93259964095638,-107.17927501434181,-60.24667537338543,43.8
1900.0,1626.85,-46.71528899386688,-102.69378160813451,-55.97849261426764,45.5
